Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
101st St. Soccer Field,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.80055,-73.973315,POINT (-73.973315 40.80055)
Greencroft Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.552058,-74.136087,POINT (-74.136087 40.552058)
Tall Oak Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.746342,-73.758265,POINT (-73.758265 40.746342)
"Ulmer Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/ulmer-park,40.592693,-73.988629,POINT (-73.988629 40.592693)
Ancient Playground,Park,Central Park Conservancy,Operational,Year Round,7am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.780996,-73.961592,POINT (-73.961592 40.780996)
Kissena Park Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.744678,-73.799234,POINT (-73.799234 40.744678)
Downing Street Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.730022,-74.002938,POINT (-74.002938 40.730022)
Tompkins Square Park,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.726834,-73.981415,POINT (-73.981415 40.726834)
Kelly Park Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.603675,-73.95756,POINT (-73.95756 40.603675)
Atlantic Ave Terminal LIRR Restroom,Transit,LIRR,Operational,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.684909,-73.977681,POINT (-73.977681 40.684909)
Conference House Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.50228,-74.251685,POINT (-74.251685 40.50228)
McKinley Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.62657,-74.016733,POINT (-74.016733 40.62657)
Yellowstone Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.726241,-73.847893,POINT (-73.847893 40.726241)
"Bronx Library Center, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 9:00 am - 9:00 pm 
Tuesday: 9:00 am - 9:00 pm
Wednesday: 9:00 am - 9:00 pm
Thursday: 9:00 am - 9:00 pm
Friday: 10:00 am - 8:00 pm 
Saturday: 10:00 am - 8:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/bronx-library-center,40.862989,-73.894504,POINT (-73.894504 40.862989)
Claremont Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.837672,-73.908021,POINT (-73.908021 40.837672)
Chelsea Piers at Pier 61,Park,Hudson River Park,Operational,Year Round,10am - 8pm,Fully Accessible,,,,,40.748592,-74.008764,POINT (-74.008764 40.748592)
Havemeyer Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.829983,-73.847942,POINT (-73.847942 40.829983)
Crispus Attucks Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.681619,-73.959209,POINT (-73.959209 40.681619)
"Lefferts Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/lefferts,40.686916,-73.824831,POINT (-73.824831 40.686916)
East River Park Zone 6,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.723861,-73.972829,POINT (-73.972829 40.723861)
"Pelham Parkway-Van Nest Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/pelham-parkway-van-nest,40.854884,-73.864148,POINT (-73.864148 40.854884)
Bendheim Playground,Park,NYC Parks,Operational,Seasonal,7am - dusk,Fully Accessible,Single-Stall All Gender Restroom(s),,,,40.790397,-73.954565,POINT (-73.954565 40.790397)
Midland Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.574783,-74.098375,POINT (-74.098375 40.574783)
Haggerty Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.713141,-73.758102,POINT (-73.758102 40.713141)
Harold Schneiderman Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.664748,-73.850434,POINT (-73.850434 40.664748)
Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.881137,-73.900773,POINT (-73.900773 40.881137)
Van Voorhees Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.689659,-73.999568,POINT (-73.999568 40.689659)
Juniper North Playground Tennis Courts,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.720668,-73.877441,POINT (-73.877441 40.720668)
Sachkerah Woods Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.883684,-73.881574,POINT (-73.881574 40.883684)
"Wakefield Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/wakefield,40.891093,-73.859583,POINT (-73.859583 40.891093)
"Sedgwick Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/sedgwick,40.849453,-73.917496,POINT (-73.917496 40.849453)
"Seaside Library, QPL",Library,QPL,Closed for Construction,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/seaside,40.579413,-73.837748,POINT (-73.837748 40.579413)
"Dongan Hills Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,Changing Table outside restroom,https://www.nypl.org/locations/dongan-hills,40.5904,-74.101139,POINT (-74.101139 40.5904)
Underwood Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.688567,-73.966747,POINT (-73.966747 40.688567)
Midland Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.568327,-74.090816,POINT (-74.090816 40.568327)
P.O. Reinaldo Salgado Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.687911,-73.925463,POINT (-73.925463 40.687911)
Randall's Island Sunken Meadow,Park,NYC Parks,Not Operational,,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",,,,,,40.793028,-73.918977,POINT (-73.918977 40.793028)
Little Bay Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.790449,-73.782045,POINT (-73.782045 40.790449)
Stars & Stripes Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.885564,-73.839162,POINT (-73.839162 40.885564)
Arlington Edinboro Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.820863,-73.946671,POINT (-73.946671 40.820863)
Admiral Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.770933,-73.73756,POINT (-73.73756 40.770933)
"Macon Library, BPL",Library,BPL,Closed for Construction,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,closed until early july,https://www.bklynlibrary.org/locations/macon,40.683013,-73.934807,POINT (-73.934807 40.683013)
Ehrenreich-Austin Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.715791,-73.837044,POINT (-73.837044 40.715791)
Spuyten Duyvil Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.887153,-73.916236,POINT (-73.916236 40.887153)
Wayanda Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.710861,-73.73901,POINT (-73.73901 40.710861)
La Guardia Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.710572,-73.959819,POINT (-73.959819 40.710572)
Quisqueya Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.84723,-73.931194,POINT (-73.931194 40.84723)
"South Ozone Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/south-ozone-park,40.674792,-73.809263,POINT (-73.809263 40.674792)
Kissena Park Zone 2 (Tennis Courts),Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.747266,-73.808605,POINT (-73.808605 40.747266)
"Eastern Parkway Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/eastern-parkway,40.668495,-73.933652,POINT (-73.933652 40.668495)
Queens Valley Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.721908,-73.823947,POINT (-73.823947 40.721908)
Playground Sixty Two LXII,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.736076,-73.852739,POINT (-73.852739 40.736076)
Meadow Lake North,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.740671,-73.841211,POINT (-73.841211 40.740671)
Major Deegan No. Gas Station,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.895123,-73.881497,POINT (-73.881497 40.895123)
"Walt Whitman Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/walt-whitman,40.694498,-73.977734,POINT (-73.977734 40.694498)
John Allen Payne Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.639783,-74.023575,POINT (-74.023575 40.639783)
Seton Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.886167,-73.917071,POINT (-73.917071 40.886167)
"Broadway Library, QPL",Library,QPL,Closed for Construction,Year Round,,,,,,https://www.queenslibrary.org/about-us/locations/broadway,40.758538,-73.918625,POINT (-73.918625 40.758538)
Carl Schurz Park Promenade,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.775711,-73.943904,POINT (-73.943904 40.775711)
"Mariners Harbor Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/mariners-harbor,40.634702,-74.166583,POINT (-74.166583 40.634702)
Cunningham Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.729396,-73.772786,POINT (-73.772786 40.729396)
Auburndale Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.765867,-73.794508,POINT (-73.794508 40.765867)
Hammel Playground,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.588185,-73.809426,POINT (-73.809426 40.588185)
"Langston Hughes Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/langston-hughes,40.757586,-73.868201,POINT (-73.868201 40.757586)
"Epiphany Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 7:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 12:00 pm - 7:00 pm   
Thursday: 10:00 am - 6:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/epiphany,40.738095,-73.98205,POINT (-73.98205 40.738095)
"North Forest Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/north-forest-park,40.711165,-73.853674,POINT (-73.853674 40.711165)
Beach 9th St. Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.595625,-73.744565,POINT (-73.744565 40.595625)
Columbus Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.715914,-73.999816,POINT (-73.999816 40.715914)
"Bay Ridge Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/bay-ridge,40.633634,-74.02954,POINT (-74.02954 40.633634)
Silver Lake Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.623055,-74.099068,POINT (-74.099068 40.623055)
Slattery Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.857148,-73.898224,POINT (-73.898224 40.857148)
Berriman Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.656996,-73.869536,POINT (-73.869536 40.656996)
Foster Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.831188,-73.92471,POINT (-73.92471 40.831188)
"Poppenhusen Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/poppenhusen,40.786221,-73.846019,POINT (-73.846019 40.786221)
Railroad Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.64924,-73.914041,POINT (-73.914041 40.64924)
Harmony Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.663406,-73.976656,POINT (-73.976656 40.663406)
Mosholu Parkway Zone 4,Park,NYC Parks,Not Operational,,,,,,,,40.868948,-73.88126,POINT (-73.88126 40.868948)
Vesuvio Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.725625,-74.002495,POINT (-74.002495 40.725625)
McCaffrey Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.759159,-73.99139,POINT (-73.99139 40.759159)
Colonel David Marcus Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.61004,-73.969611,POINT (-73.969611 40.61004)
Hilton White Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.82291,-73.90746,POINT (-73.90746 40.82291)
Burns Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.862953,-73.836616,POINT (-73.836616 40.862953)
Rev. Dr. Maggie Howard Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.62268,-74.079185,POINT (-74.079185 40.62268)
Langston Hughes Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.812211,-73.946382,POINT (-73.946382 40.812211)
Sunset Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.647683,-74.005022,POINT (-74.005022 40.647683)
Fort Greene Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.692232,-73.974733,POINT (-73.974733 40.692232)
Hudson River Park Pier 97 - Portaloo,Park,Hudson River Park,Operational,Year Round,6am - 1am,Fully Accessible,,,,,40.771441,-73.995107,POINT (-73.995107 40.771441)
Sol Bloom Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.789853,-73.968728,POINT (-73.968728 40.789853)
Dyckman Marina Restaurant,Park,NYC Parks Concessionaire,Not Operational,Seasonal,Concession Operating Hours,,,,,,40.860769,-73.93276,POINT (-73.93276 40.860769)
"Bayside Marina, Cross Is. Pkwy",Park,NYC Parks Concessionaire,Operational,Seasonal,Concession Operating Hours,,,,,,40.779806,-73.767053,POINT (-73.767053 40.779806)
Lyons Square Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.822626,-73.888339,POINT (-73.888339 40.822626)
"Adams Street Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/adams-street,40.704143,-73.987999,POINT (-73.987999 40.704143)
Olinville Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.88433,-73.86701,POINT (-73.86701 40.88433)
Eastchester Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.869776,-73.852701,POINT (-73.852701 40.869776)
120 Park Avenue POPS,Privately Owned Public Space,Shorenstein Realty Services,Operational,Year Round,Monday to Saturday: 7:30 am-9:30 pm; Sunday: 11:00 am-7:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,Security will grant access to restrooms.,,40.751936,-73.978306,POINT (-73.978306 40.751936)
Alley Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.746998,-73.745627,POINT (-73.745627 40.746998)
100% Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.64679,-73.899478,POINT (-73.899478 40.64679)
Quarry Ballfields,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8502,-73.89,POINT (-73.89 40.8502)
Rev J Polite Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8269,-73.89781,POINT (-73.89781 40.8269)
"Sunset Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/sunset-park,40.64592,-74.013631,POINT (-74.013631 40.64592)
Houston St Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.722443,-73.991187,POINT (-73.991187 40.722443)
Dean Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680556,-73.972785,POINT (-73.972785 40.680556)
Manhattan Beach Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.576973,-73.944122,POINT (-73.944122 40.576973)
Bella Abzug Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.75632,-73.99974,POINT (-73.99974 40.75632)
"Phil ""Scooter"" Rizzuto Park",Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.694672,-73.821523,POINT (-73.821523 40.694672)
Coney Island Beach Zone 5a,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.572844,-73.980755,POINT (-73.980755 40.572844)
Ethan Allen Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.655784,-73.886847,POINT (-73.886847 40.655784)
"Auburndale Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/auburndale,40.773755,-73.796343,POINT (-73.796343 40.773755)
174 St Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.693378,-73.778124,POINT (-73.778124 40.693378)
Central Park Ice Rinks,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.767815,-73.97449,POINT (-73.97449 40.767815)
P.S. 279 Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.644594,-73.893274,POINT (-73.893274 40.644594)
